Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,39.580002,39.779999,39.48,39.650002,2182600,35.457686
2011-12-29,38.959999,39.490002,38.959999,39.459999,3125100,35.287774
2011-12-28,39.32,39.439999,38.860001,38.889999,2297600,34.778042
2011-12-27,39.639999,39.73,39.50,39.509998,1550900,35.332486
2011-12-23,39.619999,39.810001,39.52,39.799999,1333500,35.591824
2011-12-22,39.18,39.599998,39.139999,39.57,2412900,35.386143
2011-12-21,39.009998,39.18,38.720001,39.119999,1925800,34.983723
2011-12-20,40.060001,40.66,40.060001,40.560001,1835000,35.047219
2011-12-19,39.759998,39.900002,39.169998,39.25,1091400,33.915269
2011-12-16,39.84,40.09,39.599998,39.759998,1092500,34.35595
2011-12-15,40.09,40.150002,39.68,39.73,1124000,34.330029
2011-12-14,39.900002,40.060001,39.50,39.619999,1198200,34.234979
2011-12-13,40.82,41.130001,39.900002,40.110001,920300,34.658381
2011-12-12,40.970001,40.98,40.349998,40.689999,877400,35.159548
2011-12-09,41.279999,41.93,41.189999,41.869999,763700,36.179166
2011-12-08,41.650002,41.759998,40.82,40.939999,1192400,35.375569
2011-12-07,41.869999,42.419998,41.66,42.23,773500,36.490237
2011-12-06,42.040001,42.32,41.830002,42.060001,693700,36.343344
2011-12-05,42.580002,42.689999,41.990002,42.34,1164700,36.585287
2011-12-02,42.360001,42.369999,41.75,41.75,863800,36.075477
2011-12-01,41.830002,42.240002,41.66,41.689999,738600,36.023631
2011-11-30,41.799999,42.139999,41.630001,42.060001,975300,36.343344
2011-11-29,39.990002,40.290001,39.860001,40.00,669500,34.563332
2011-11-28,39.959999,40.07,39.650002,39.900002,991000,34.476925
2011-11-25,38.369999,38.82,38.290001,38.310001,238900,33.103032
2011-11-23,39.080002,39.080002,38.34,38.439999,1189000,33.21536
2011-11-22,39.669998,39.849998,39.299999,39.549999,2006000,34.174493
2011-11-21,39.939999,39.939999,39.360001,39.630001,1726400,34.243622
2011-11-18,41.07,41.099998,40.669998,40.709999,845600,35.17683
2011-11-17,41.419998,41.599998,40.50,40.689999,976300,35.159548
2011-11-16,41.560001,42.02,41.200001,41.259998,963000,35.652075
2011-11-15,41.889999,42.279999,41.700001,42.060001,423500,36.343344
2011-11-14,42.27,42.470001,41.880001,42.09,316600,36.369266
2011-11-11,42.43,42.93,42.41,42.77,789900,36.956843
2011-11-10,42.139999,42.200001,41.52,41.810001,989900,36.127324
2011-11-09,42.009998,42.18,41.34,41.400002,562400,35.77305
2011-11-08,43.389999,43.73,42.950001,43.619999,423000,37.691312
2011-11-07,42.939999,43.23,42.599998,43.209999,463900,37.337038
2011-11-04,42.900002,43.09,42.369999,42.950001,529400,37.112378
2011-11-03,43.049999,43.540001,42.369999,43.419998,897400,37.518495
2011-11-02,42.400002,42.720001,42.09,42.419998,595200,36.654412
2011-11-01,41.59,42.240002,41.279999,41.799999,1021800,36.118681
2011-10-31,44.119999,44.150002,43.169998,43.169998,994900,37.302474
2011-10-28,44.849998,45.220001,44.779999,45.09,931500,38.961516
2011-10-27,45.00,45.740002,44.610001,45.459999,734900,39.281226
2011-10-26,43.169998,43.25,42.200001,43.130001,431300,37.267913
2011-10-25,42.849998,42.950001,42.25,42.450001,619800,36.680336
2011-10-24,42.349998,43.279999,42.349998,43.09,894300,37.233349
2011-10-21,41.900002,42.34,41.889999,42.290001,972500,36.542083
2011-10-20,41.299999,41.419998,40.610001,41.25,814400,35.643436
2011-10-19,41.919998,42.040001,41.290001,41.32,494600,35.703921
2011-10-18,41.32,42.380001,40.919998,42.130001,526100,36.40383
2011-10-17,42.169998,42.18,41.34,41.48,703300,35.842174
2011-10-14,42.349998,42.580002,42.119999,42.529999,824500,36.749461
2011-10-13,41.639999,41.950001,41.25,41.84,721600,36.153245
2011-10-12,41.810001,42.369999,41.790001,41.950001,567500,36.248295
2011-10-11,40.77,41.200001,40.639999,41.110001,483000,35.522465
2011-10-10,40.73,41.310001,40.68,41.310001,421100,35.695282
2011-10-07,40.27,40.349998,39.52,39.66,622100,34.269543
2011-10-06,38.939999,39.990002,38.830002,39.98,708100,34.54605
2011-10-05,38.16,39.049999,37.889999,38.919998,826500,33.63012
2011-10-04,37.34,38.220001,36.720001,38.209999,1937900,33.016622
2011-10-03,38.41,38.959999,37.650002,37.689999,1800100,32.567298
2011-09-30,39.150002,39.549999,38.720001,38.720001,786400,33.457306
2011-09-29,40.43,40.599998,39.540001,40.110001,471300,34.658381
2011-09-28,40.41,40.610001,39.369999,39.41,1261600,34.053522
2011-09-27,40.380001,40.990002,40.099998,40.25,1641900,34.779352
2011-09-26,38.669998,39.32,38.080002,39.27,1259800,33.932551
